=== ALL PRODUCTS ===
ID: 1 | Cod: PERU00000001 | Name: "Arroz Extra" | Cat: "Abarrotes" | Brand: "Faraón"
ID: 23 | Cod: PERU00000023 | Name: "Ketchup" | Cat: "Salsas" | Brand: "Alacena"
ID: 24 | Cod: PERU00000024 | Name: "Ají Tarí" | Cat: "Salsas" | Brand: "Alacena"
ID: 25 | Cod: PERU00000025 | Name: "Mermelada de Fresa" | Cat: "Desayuno" | Brand: "Gloria"
ID: 26 | Cod: PERU00000026 | Name: "Mantequilla con Sal" | Cat: "Lácteos" | Brand: "Manty"
ID: 27 | Cod: PERU00000027 | Name: "Margarina" | Cat: "Lácteos" | Brand: "Sello de Oro"
ID: 28 | Cod: PERU00000028 | Name: "Café Instantáneo" | Cat: "Desayuno" | Brand: "Nescafé Tradición"
ID: 29 | Cod: PERU00000029 | Name: "Café para Pasar" | Cat: "Desayuno" | Brand: "Altomayo"
ID: 30 | Cod: PERU00000030 | Name: "Cocoa" | Cat: "Desayuno" | Brand: "Winter's"
ID: 31 | Cod: PERU00000031 | Name: "Té Canela/Clavo" | Cat: "Infusiones" | Brand: "McColin's"
ID: 32 | Cod: PERU00000032 | Name: "Manzanilla" | Cat: "Infusiones" | Brand: "Herbi"
ID: 33 | Cod: PERU00000033 | Name: "Anís" | Cat: "Infusiones" | Brand: "Hornimans"
ID: 34 | Cod: PERU00000034 | Name: "Gelatina Fresa" | Cat: "Postres" | Brand: "Royal"
ID: 35 | Cod: PERU00000035 | Name: "Mazamorra Morada" | Cat: "Postres" | Brand: "Negrita"
ID: 36 | Cod: PERU00000036 | Name: "Flan Vainilla" | Cat: "Postres" | Brand: "Universal"
ID: 37 | Cod: PERU00000037 | Name: "Harina Preparada" | Cat: "Abarrotes" | Brand: "Blanca Flor"
ID: 38 | Cod: PERU00000038 | Name: "Harina sin Preparar" | Cat: "Abarrotes" | Brand: "Nicolini"
ID: 39 | Cod: PERU00000039 | Name: "Levadura Fresca" | Cat: "Abarrotes" | Brand: "Flesichmann"
ID: 40 | Cod: PERU00000040 | Name: "Galleta Soda" | Cat: "Golosinas" | Brand: "Victoria"
ID: 41 | Cod: PERU00000041 | Name: "Galleta Vainilla" | Cat: "Golosinas" | Brand: "Field"
ID: 42 | Cod: PERU00000042 | Name: "Galleta Rellena" | Cat: "Golosinas" | Brand: "Casino"
ID: 43 | Cod: PERU00000043 | Name: "Chocolates" | Cat: "Golosinas" | Brand: "Sublime"
ID: 44 | Cod: PERU00000044 | Name: "Caramelos Limón" | Cat: "Golosinas" | Brand: "Sayón"
ID: 45 | Cod: PERU00000045 | Name: "Gaseosa Negra" | Cat: "Bebidas" | Brand: "Coca Cola"
ID: 46 | Cod: PERU00000046 | Name: "Gaseosa Amarilla" | Cat: "Bebidas" | Brand: "Inca Kola"
ID: 47 | Cod: PERU00000047 | Name: "Agua sin Gas" | Cat: "Bebidas" | Brand: "Cielo"
ID: 48 | Cod: PERU00000048 | Name: "Agua con Gas" | Cat: "Bebidas" | Brand: "San Mateo"
ID: 49 | Cod: PERU00000049 | Name: "Juego Durazno" | Cat: "Bebidas" | Brand: "Frugos"
ID: 50 | Cod: PERU00000050 | Name: "Cerveza" | Cat: "Bebidas" | Brand: "Cristal"
ID: 51 | Cod: VEG00000001 | Name: "Papa Canchán" | Cat: "Verduras" | Brand: "Granel"
ID: 52 | Cod: VEG00000002 | Name: "Papa Amarilla" | Cat: "Verduras" | Brand: "Granel"
ID: 53 | Cod: VEG00000003 | Name: "Papa Blanca" | Cat: "Verduras" | Brand: "Granel"
ID: 54 | Cod: VEG00000004 | Name: "Camote Amarillo" | Cat: "Verduras" | Brand: "Granel"
ID: 55 | Cod: VEG00000005 | Name: "Yuca Amarilla" | Cat: "Verduras" | Brand: "Granel"
ID: 56 | Cod: VEG00000006 | Name: "Cebolla Roja" | Cat: "Verduras" | Brand: "Granel"
ID: 57 | Cod: VEG00000007 | Name: "Ajo Pelado" | Cat: "Verduras" | Brand: "Granel"
ID: 58 | Cod: VEG00000008 | Name: "Tomate Italiano" | Cat: "Verduras" | Brand: "Granel"
ID: 59 | Cod: VEG00000009 | Name: "Zanahoria" | Cat: "Verduras" | Brand: "Granel"
ID: 60 | Cod: VEG00000010 | Name: "Arveja Verde" | Cat: "Verduras" | Brand: "Granel"
ID: 61 | Cod: VEG00000011 | Name: "Choclo" | Cat: "Verduras" | Brand: "Granel"
ID: 62 | Cod: VEG00000012 | Name: "Vainita" | Cat: "Verduras" | Brand: "Granel"
ID: 63 | Cod: VEG00000013 | Name: "Apio" | Cat: "Verduras" | Brand: "Granel"
ID: 64 | Cod: VEG00000014 | Name: "Puerro (Porro)" | Cat: "Verduras" | Brand: "Granel"
ID: 65 | Cod: VEG00000015 | Name: "Culantro" | Cat: "Hierbas" | Brand: "Granel"
ID: 66 | Cod: VEG00000016 | Name: "Perejil" | Cat: "Hierbas" | Brand: "Granel"
ID: 67 | Cod: VEG00000017 | Name: "Hierbabuena" | Cat: "Hierbas" | Brand: "Granel"
ID: 68 | Cod: VEG00000018 | Name: "Orégano Fresco" | Cat: "Hierbas" | Brand: "Granel"
ID: 69 | Cod: VEG00000019 | Name: "Limón Sutil" | Cat: "Frutas" | Brand: "Granel"
ID: 70 | Cod: VEG00000020 | Name: "Palta Fuerte" | Cat: "Frutas" | Brand: "Granel"
ID: 71 | Cod: VEG00000021 | Name: "Plátano Seda" | Cat: "Frutas" | Brand: "Granel"
ID: 72 | Cod: VEG00000022 | Name: "Plátano Isla" | Cat: "Frutas" | Brand: "Granel"
ID: 73 | Cod: VEG00000023 | Name: "Manzana Israel" | Cat: "Frutas" | Brand: "Granel"
ID: 74 | Cod: VEG00000024 | Name: "Naranja de Jugo" | Cat: "Frutas" | Brand: "Granel"
ID: 75 | Cod: VEG00000025 | Name: "Papaya" | Cat: "Frutas" | Brand: "Granel"
ID: 76 | Cod: VEG00000026 | Name: "Piña Golden" | Cat: "Frutas" | Brand: "Granel"
ID: 77 | Cod: VEG00000027 | Name: "Fresa" | Cat: "Frutas" | Brand: "Granel"
ID: 78 | Cod: VEG00000028 | Name: "Uva Borgoña" | Cat: "Frutas" | Brand: "Granel"
ID: 79 | Cod: VEG00000029 | Name: "Sandía" | Cat: "Frutas" | Brand: "Granel"
ID: 80 | Cod: VEG00000030 | Name: "Melón" | Cat: "Frutas" | Brand: "Granel"
ID: 81 | Cod: VEG00000031 | Name: "Huevo de Codorniz" | Cat: "Aves" | Brand: "Granel"
ID: 82 | Cod: VEG00000032 | Name: "Huevos Pardos" | Cat: "Aves" | Brand: "La Calera"
ID: 83 | Cod: LIM00000001 | Name: "Papel Higiénico" | Cat: "Limpieza" | Brand: "Suave"
ID: 84 | Cod: LIM00000002 | Name: "Papel Toalla" | Cat: "Limpieza" | Brand: "Elite"
ID: 85 | Cod: LIM00000003 | Name: "Detergente Polvo" | Cat: "Limpieza" | Brand: "Ariel"
ID: 86 | Cod: LIM00000004 | Name: "Detergente Polvo" | Cat: "Limpieza" | Brand: "Omo"
ID: 87 | Cod: LIM00000005 | Name: "Detergente Líquido" | Cat: "Limpieza" | Brand: "Bolívar"
ID: 88 | Cod: LIM00000006 | Name: "Jabón de Lavar" | Cat: "Limpieza" | Brand: "Bolívar"
ID: 89 | Cod: LIM00000007 | Name: "Suavizante" | Cat: "Limpieza" | Brand: "Downy"
ID: 90 | Cod: LIM00000008 | Name: "Lejía" | Cat: "Limpieza" | Brand: "Clorox"
ID: 91 | Cod: LIM00000009 | Name: "Limpia Todo" | Cat: "Limpieza" | Brand: "Poett"
ID: 92 | Cod: LIM00000010 | Name: "Pasta Dental" | Cat: "Aseo Personal" | Brand: "Kolynos"
ID: 93 | Cod: LIM00000011 | Name: "Pasta Dental" | Cat: "Aseo Personal" | Brand: "Colgate"
ID: 94 | Cod: LIM00000012 | Name: "Cepillo Dental" | Cat: "Aseo Personal" | Brand: "Oral-B"
ID: 95 | Cod: LIM00000013 | Name: "Champú" | Cat: "Aseo Personal" | Brand: "Sedal"
ID: 96 | Cod: LIM00000014 | Name: "Champú" | Cat: "Aseo Personal" | Brand: "Head & Shoulders"
ID: 97 | Cod: LIM00000015 | Name: "Jabón Tocador" | Cat: "Aseo Personal" | Brand: "Rexona"
ID: 98 | Cod: LIM00000016 | Name: "Desodorante Spray" | Cat: "Aseo Personal" | Brand: "Axe"
ID: 99 | Cod: LIM00000017 | Name: "Desodorante Rolón" | Cat: "Aseo Personal" | Brand: "Nivea"
ID: 100 | Cod: LIM00000018 | Name: "Máquina de Afeitar" | Cat: "Aseo Personal" | Brand: "Gillette"
ID: 104 | Cod: DEMO-042894 | Name: "Arroz Alicorp 551g" | Cat: "Limpieza" | Brand: "Alicorp"
ID: 105 | Cod: DEMO-078447 | Name: "Cerveza Backus 232g" | Cat: "Abarrotes" | Brand: "Backus"
ID: 106 | Cod: DEMO-032535 | Name: "Chocolate Knorr 547g" | Cat: "Abarrotes" | Brand: "Knorr"
ID: 107 | Cod: DEMO-046536 | Name: "Mantequilla Knorr 204g" | Cat: "Cuidado Personal" | Brand: "Knorr"
ID: 108 | Cod: DEMO-007423 | Name: "Mermelada Gloria 197g" | Cat: "Cuidado Personal" | Brand: "Gloria"
ID: 109 | Cod: DEMO-012480 | Name: "Detergente Gloria 431g" | Cat: "Abarrotes" | Brand: "Gloria"
ID: 110 | Cod: DEMO-035526 | Name: "Jabón Costa 160g" | Cat: "Bebidas y Licores" | Brand: "Costa"
ID: 111 | Cod: DEMO-025988 | Name: "Café Knorr 413g" | Cat: "Limpieza" | Brand: "Knorr"
ID: 112 | Cod: DEMO-013664 | Name: "Gaseosa Bimbo 481g" | Cat: "Bebidas y Licores" | Brand: "Bimbo"
ID: 113 | Cod: DEMO-088046 | Name: "Agua Alicorp 275g" | Cat: "Abarrotes" | Brand: "Alicorp"
ID: 114 | Cod: DEMO-044752 | Name: "Arroz Knorr 526g" | Cat: "Abarrotes" | Brand: "Knorr"
ID: 115 | Cod: DEMO-010348 | Name: "Galletas Backus 548g" | Cat: "Snacks y Golosinas" | Brand: "Backus"
ID: 116 | Cod: DEMO-060620 | Name: "Mermelada Gloria 431g" | Cat: "Bebidas y Licores" | Brand: "Gloria"
ID: 117 | Cod: DEMO-063642 | Name: "Jabón Backus 171g" | Cat: "Limpieza" | Brand: "Backus"
ID: 118 | Cod: DEMO-089295 | Name: "Galletas Bimbo 240g" | Cat: "Snacks y Golosinas" | Brand: "Bimbo"
ID: 119 | Cod: DEMO-038948 | Name: "Jabón Bimbo 453g" | Cat: "Bebidas y Licores" | Brand: "Bimbo"
ID: 120 | Cod: DEMO-095431 | Name: "Chocolate D'Onofrio 446g" | Cat: "Snacks y Golosinas" | Brand: "D'Onofrio"
ID: 121 | Cod: DEMO-010206 | Name: "Jabón Alicorp 330g" | Cat: "Snacks y Golosinas" | Brand: "Alicorp"
ID: 122 | Cod: DEMO-034065 | Name: "Chocolate Bimbo 282g" | Cat: "Bebidas y Licores" | Brand: "Bimbo"
ID: 123 | Cod: DEMO-069026 | Name: "Arroz D'Onofrio 142g" | Cat: "Snacks y Golosinas" | Brand: "D'Onofrio"
ID: 124 | Cod: DEMO-089543 | Name: "Arroz Alicorp 172g" | Cat: "Bebidas y Licores" | Brand: "Alicorp"
ID: 125 | Cod: DEMO-052144 | Name: "Galletas Gloria 390g" | Cat: "Abarrotes" | Brand: "Gloria"
ID: 126 | Cod: DEMO-012363 | Name: "Agua Nestlé 590g" | Cat: "Abarrotes" | Brand: "Nestlé"
ID: 127 | Cod: DEMO-003500 | Name: "Detergente Nestlé 423g" | Cat: "Snacks y Golosinas" | Brand: "Nestlé"
ID: 128 | Cod: DEMO-002293 | Name: "Mermelada Bimbo 219g" | Cat: "Snacks y Golosinas" | Brand: "Bimbo"
ID: 129 | Cod: DEMO-041902 | Name: "Shampoo Procter & Gamble 476g" | Cat: "Limpieza" | Brand: "Procter & Gamble"
ID: 130 | Cod: DEMO-031878 | Name: "Atún Nestlé 499g" | Cat: "Bebidas y Licores" | Brand: "Nestlé"
ID: 131 | Cod: DEMO-087315 | Name: "Arroz Gloria 564g" | Cat: "Abarrotes" | Brand: "Gloria"
ID: 132 | Cod: DEMO-055965 | Name: "Fideos Knorr 405g" | Cat: "Snacks y Golosinas" | Brand: "Knorr"
ID: 133 | Cod: DEMO-065118 | Name: "Papel Higiénico Gloria 405g" | Cat: "Cuidado Personal" | Brand: "Gloria"
ID: 134 | Cod: DEMO-048587 | Name: "Gaseosa Procter & Gamble 149g" | Cat: "Bebidas y Licores" | Brand: "Procter & Gamble"
ID: 135 | Cod: DEMO-085545 | Name: "Fideos Nestlé 296g" | Cat: "Limpieza" | Brand: "Nestlé"
ID: 136 | Cod: DEMO-089843 | Name: "Detergente Procter & Gamble 216g" | Cat: "Limpieza" | Brand: "Procter & Gamble"
ID: 137 | Cod: DEMO-081301 | Name: "Cerveza Nestlé 570g" | Cat: "Limpieza" | Brand: "Nestlé"
ID: 138 | Cod: DEMO-000276 | Name: "Arroz Backus 230g" | Cat: "Limpieza" | Brand: "Backus"
ID: 139 | Cod: DEMO-069158 | Name: "Azúcar Nestlé 445g" | Cat: "Cuidado Personal" | Brand: "Nestlé"
ID: 140 | Cod: DEMO-029272 | Name: "Fideos Procter & Gamble 280g" | Cat: "Limpieza" | Brand: "Procter & Gamble"
ID: 141 | Cod: DEMO-055211 | Name: "Cerveza Backus 476g" | Cat: "Lácteos" | Brand: "Backus"
ID: 142 | Cod: DEMO-034545 | Name: "Galletas Nestlé 226g" | Cat: "Abarrotes" | Brand: "Nestlé"
ID: 143 | Cod: DEMO-033289 | Name: "Fideos Bimbo 387g" | Cat: "Abarrotes" | Brand: "Bimbo"
ID: 144 | Cod: DEMO-020462 | Name: "Detergente Backus 517g" | Cat: "Cuidado Personal" | Brand: "Backus"
ID: 145 | Cod: DEMO-039229 | Name: "Té Coca Cola 451g" | Cat: "Limpieza" | Brand: "Coca Cola"
ID: 146 | Cod: DEMO-002752 | Name: "Chocolate Coca Cola 186g" | Cat: "Bebidas y Licores" | Brand: "Coca Cola"
ID: 147 | Cod: DEMO-007832 | Name: "Aceite Backus 508g" | Cat: "Lácteos" | Brand: "Backus"
ID: 148 | Cod: DEMO-030554 | Name: "Aceite Alicorp 135g" | Cat: "Bebidas y Licores" | Brand: "Alicorp"
ID: 149 | Cod: DEMO-088248 | Name: "Gaseosa Backus 407g" | Cat: "Limpieza" | Brand: "Backus"
ID: 150 | Cod: DEMO-059032 | Name: "Chocolate Nestlé 389g" | Cat: "Cuidado Personal" | Brand: "Nestlé"
ID: 151 | Cod: DEMO-044442 | Name: "Cerveza Procter & Gamble 135g" | Cat: "Snacks y Golosinas" | Brand: "Procter & Gamble"
ID: 152 | Cod: DEMO-005545 | Name: "Aceite Procter & Gamble 329g" | Cat: "Lácteos" | Brand: "Procter & Gamble"
ID: 153 | Cod: DEMO-051407 | Name: "Chocolate Nestlé 470g" | Cat: "Abarrotes" | Brand: "Nestlé"
ID: 154 | Cod: DEMO-039931 | Name: "Galletas Coca Cola 214g" | Cat: "Cuidado Personal" | Brand: "Coca Cola"
ID: 155 | Cod: DEMO-063394 | Name: "Caramelos D'Onofrio 149g" | Cat: "Bebidas y Licores" | Brand: "D'Onofrio"
ID: 156 | Cod: DEMO-006937 | Name: "Jabón Backus 298g" | Cat: "Lácteos" | Brand: "Backus"
ID: 157 | Cod: DEMO-078782 | Name: "Atún Knorr 104g" | Cat: "Lácteos" | Brand: "Knorr"
ID: 158 | Cod: DEMO-097764 | Name: "Detergente D'Onofrio 380g" | Cat: "Cuidado Personal" | Brand: "D'Onofrio"
ID: 159 | Cod: DEMO-017186 | Name: "Galletas Coca Cola 309g" | Cat: "Cuidado Personal" | Brand: "Coca Cola"
ID: 160 | Cod: DEMO-024031 | Name: "Mantequilla Procter & Gamble 523g" | Cat: "Cuidado Personal" | Brand: "Procter & Gamble"
ID: 161 | Cod: DEMO-095778 | Name: "Arroz Nestlé 251g" | Cat: "Snacks y Golosinas" | Brand: "Nestlé"
ID: 162 | Cod: DEMO-076811 | Name: "Arroz Alicorp 222g" | Cat: "Snacks y Golosinas" | Brand: "Alicorp"
ID: 163 | Cod: DEMO-040349 | Name: "Atún Procter & Gamble 401g" | Cat: "Cuidado Personal" | Brand: "Procter & Gamble"
ID: 164 | Cod: DEMO-063337 | Name: "Fideos Gloria 508g" | Cat: "Abarrotes" | Brand: "Gloria"
ID: 165 | Cod: DEMO-011148 | Name: "Atún Nestlé 240g" | Cat: "Bebidas y Licores" | Brand: "Nestlé"
ID: 166 | Cod: DEMO-033494 | Name: "Aceite Nestlé 572g" | Cat: "Lácteos" | Brand: "Nestlé"
ID: 167 | Cod: DEMO-019252 | Name: "Aceite Backus 462g" | Cat: "Abarrotes" | Brand: "Backus"
ID: 168 | Cod: DEMO-078187 | Name: "Té Nestlé 125g" | Cat: "Lácteos" | Brand: "Nestlé"
ID: 169 | Cod: DEMO-076207 | Name: "Té Procter & Gamble 208g" | Cat: "Snacks y Golosinas" | Brand: "Procter & Gamble"
ID: 170 | Cod: DEMO-022100 | Name: "Jabón Backus 596g" | Cat: "Abarrotes" | Brand: "Backus"
ID: 171 | Cod: DEMO-096941 | Name: "Shampoo Backus 261g" | Cat: "Limpieza" | Brand: "Backus"
ID: 172 | Cod: DEMO-068118 | Name: "Chocolate Backus 197g" | Cat: "Cuidado Personal" | Brand: "Backus"
ID: 173 | Cod: DEMO-052578 | Name: "Gaseosa Nestlé 587g" | Cat: "Abarrotes" | Brand: "Nestlé"
ID: 174 | Cod: DEMO-093537 | Name: "Papel Higiénico Coca Cola 538g" | Cat: "Snacks y Golosinas" | Brand: "Coca Cola"
ID: 175 | Cod: DEMO-080306 | Name: "Papel Higiénico Gloria 521g" | Cat: "Limpieza" | Brand: "Gloria"
ID: 176 | Cod: DEMO-010338 | Name: "Galletas Nestlé 342g" | Cat: "Bebidas y Licores" | Brand: "Nestlé"
ID: 177 | Cod: DEMO-035296 | Name: "Café Knorr 257g" | Cat: "Bebidas y Licores" | Brand: "Knorr"
ID: 178 | Cod: DEMO-014831 | Name: "Arroz Knorr 381g" | Cat: "Cuidado Personal" | Brand: "Knorr"
ID: 179 | Cod: DEMO-087974 | Name: "Mermelada Nestlé 577g" | Cat: "Bebidas y Licores" | Brand: "Nestlé"
ID: 180 | Cod: DEMO-093370 | Name: "Aceite Coca Cola 566g" | Cat: "Abarrotes" | Brand: "Coca Cola"
ID: 181 | Cod: DEMO-063850 | Name: "Gaseosa Gloria 312g" | Cat: "Abarrotes" | Brand: "Gloria"
ID: 182 | Cod: DEMO-070434 | Name: "Leche Bimbo 449g" | Cat: "Lácteos" | Brand: "Bimbo"
ID: 183 | Cod: DEMO-097096 | Name: "Azúcar Coca Cola 109g" | Cat: "Bebidas y Licores" | Brand: "Coca Cola"
ID: 184 | Cod: DEMO-050623 | Name: "Café Alicorp 535g" | Cat: "Snacks y Golosinas" | Brand: "Alicorp"
ID: 185 | Cod: DEMO-060477 | Name: "Arroz Nestlé 552g" | Cat: "Lácteos" | Brand: "Nestlé"
ID: 186 | Cod: DEMO-083351 | Name: "Arroz Gloria 294g" | Cat: "Abarrotes" | Brand: "Gloria"
ID: 187 | Cod: DEMO-012518 | Name: "Papel Higiénico Nestlé 451g" | Cat: "Snacks y Golosinas" | Brand: "Nestlé"
ID: 188 | Cod: DEMO-049855 | Name: "Arroz Coca Cola 533g" | Cat: "Cuidado Personal" | Brand: "Coca Cola"
ID: 189 | Cod: DEMO-060387 | Name: "Arroz Bimbo 358g" | Cat: "Snacks y Golosinas" | Brand: "Bimbo"
ID: 190 | Cod: DEMO-083942 | Name: "Chocolate Bimbo 119g" | Cat: "Cuidado Personal" | Brand: "Bimbo"
ID: 191 | Cod: DEMO-000289 | Name: "Atún Bimbo 146g" | Cat: "Snacks y Golosinas" | Brand: "Bimbo"
ID: 192 | Cod: DEMO-084810 | Name: "Caramelos Knorr 465g" | Cat: "Snacks y Golosinas" | Brand: "Knorr"
ID: 193 | Cod: DEMO-055836 | Name: "Cerveza Bimbo 476g" | Cat: "Bebidas y Licores" | Brand: "Bimbo"
ID: 194 | Cod: DEMO-029519 | Name: "Gaseosa Nestlé 204g" | Cat: "Limpieza" | Brand: "Nestlé"
ID: 195 | Cod: DEMO-058761 | Name: "Leche Coca Cola 539g" | Cat: "Limpieza" | Brand: "Coca Cola"
ID: 196 | Cod: DEMO-093082 | Name: "Cerveza Nestlé 119g" | Cat: "Limpieza" | Brand: "Nestlé"
ID: 197 | Cod: DEMO-052985 | Name: "Caramelos Backus 451g" | Cat: "Abarrotes" | Brand: "Backus"
ID: 198 | Cod: DEMO-075785 | Name: "Arroz Coca Cola 422g" | Cat: "Bebidas y Licores" | Brand: "Coca Cola"
ID: 199 | Cod: DEMO-077465 | Name: "Mantequilla Procter & Gamble 281g" | Cat: "Limpieza" | Brand: "Procter & Gamble"
ID: 200 | Cod: DEMO-019144 | Name: "Leche Knorr 116g" | Cat: "Abarrotes" | Brand: "Knorr"
ID: 201 | Cod: DEMO-021795 | Name: "Agua Gloria 191g" | Cat: "Abarrotes" | Brand: "Gloria"
ID: 202 | Cod: DEMO-059742 | Name: "Fideos Alicorp 347g" | Cat: "Abarrotes" | Brand: "Alicorp"
ID: 203 | Cod: DEMO-049575 | Name: "Cerveza Coca Cola 327g" | Cat: "Snacks y Golosinas" | Brand: "Coca Cola"
ID: 204 | Cod: AB-001 | Name: "Arroz Extra (Saco 50kg)" | Cat: "Abarrotes" | Brand: "S/M"
ID: 205 | Cod: AB-002 | Name: "Azúcar Rubia (Saco 50kg)" | Cat: "Abarrotes" | Brand: "S/M"
ID: 206 | Cod: AB-003 | Name: "Lenteja Marrón" | Cat: "Legumbres" | Brand: "Granel"
ID: 207 | Cod: AB-004 | Name: "Frijol Canario" | Cat: "Legumbres" | Brand: "Granel"
ID: 208 | Cod: BEB-001 | Name: "Aceite Vegetal Granel" | Cat: "Aceites" | Brand: "S/M"
ID: 209 | Cod: BEB-002 | Name: "Leche Fresca de Vaca" | Cat: "Lácteos" | Brand: "Establo"
ID: 210 | Cod: BEB-003 | Name: "Vinagre Blanco" | Cat: "Condimentos" | Brand: "S/M"
ID: 211 | Cod: LIM-001 | Name: "Papel Higiénico Económico" | Cat: "Limpieza" | Brand: "S/M"
ID: 212 | Cod: LIM-002 | Name: "Bolsas de Basura (Rollo x10)" | Cat: "Limpieza" | Brand: "S/M"
ID: 213 | Cod: LIM-003 | Name: "Servilletas (Paquete)" | Cat: "Limpieza" | Brand: "S/M"
ID: 214 | Cod: AB-005 | Name: "Fideos Tallarín (Caja 20kg)" | Cat: "Abarrotes" | Brand: "S/M"
ID: 215 | Cod: BEB-004 | Name: "Cerveza Cristal (Caja 12 botellas)" | Cat: "Bebidas" | Brand: "Backus"
ID: 216 | Cod: AB-006 | Name: "Huevos de Granja (Jabita x30)" | Cat: "Lácteos" | Brand: "S/M"
ID: 217 | Cod: AB-007 | Name: "Sal de Marash" | Cat: "Condimentos" | Brand: "Granel"
ID: 218 | Cod: AB-008 | Name: "Avena en Hojuelas" | Cat: "Desayuno" | Brand: "Granel"
ID: 219 | Cod: BEB-005 | Name: "Gaseosa Inka Kola 3L" | Cat: "Bebidas" | Brand: "Coca Cola"
ID: 220 | Cod: LIM-004 | Name: "Detergente a Granel" | Cat: "Limpieza" | Brand: "S/M"
ID: 221 | Cod: AB-009 | Name: "Pan de Molde Artesanal" | Cat: "Panadería" | Brand: "Local"
ID: 222 | Cod: AB-010 | Name: "Queso Fresco Cajamarquino" | Cat: "Lácteos" | Brand: "S/M"
ID: 223 | Cod: BEB-006 | Name: "Yogurt Frutado" | Cat: "Lácteos" | Brand: "Artesanal"
ID: 224 | Cod: AB-011 | Name: "Harina sin Preparar" | Cat: "Abarrotes" | Brand: "S/M"
ID: 225 | Cod: AB-012 | Name: "Pollo Trozado" | Cat: "Carnes" | Brand: "Granja"
ID: 226 | Cod: AB-013 | Name: "Papa Canchán" | Cat: "Verduras" | Brand: "Mercado"
ID: 227 | Cod: AB-014 | Name: "Cebolla Roja" | Cat: "Verduras" | Brand: "Mercado"
ID: 228 | Cod: AB-015 | Name: "Ajo Pelado" | Cat: "Condimentos" | Brand: "Granel"
ID: 229 | Cod: BEB-007 | Name: "Agua San Mateo 2.5L" | Cat: "Bebidas" | Brand: "Backus"
ID: 230 | Cod: AB-016 | Name: "Café Pasado" | Cat: "Desayuno" | Brand: "Chanchamayo"
ID: 231 | Cod: LIM-005 | Name: "Lejía Sapolio 1L" | Cat: "Limpieza" | Brand: "Alicorp"
ID: 232 | Cod: SNK-001 | Name: "Galleta de Soda (Six Pack)" | Cat: "Snacks" | Brand: "Costa"
ID: 233 | Cod: AB-017 | Name: "Mantequilla con Sal" | Cat: "Lácteos" | Brand: "Laive"
ID: 234 | Cod: AB-101 | Name: "Arroz Extra Costeño (Saco 50kg)" | Cat: "Abarrotes" | Brand: "Costeño"
ID: 235 | Cod: AB-102 | Name: "Azúcar Rubia Paramonga (Saco 50kg)" | Cat: "Abarrotes" | Brand: "Paramonga"
ID: 236 | Cod: AB-103 | Name: "Aceite Primor Premium 1L" | Cat: "Aceites" | Brand: "Primor"
